YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE,STADIUM,LOCATION,WINNER,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,COUNT
2019,9,29,6,14,두산,LG,3:0,잠실,서울,두산,27,0,3,31,1
2019,9,28,5,17,한화,두산,6:7,잠실,서울,두산,28,0,2,41,1
2019,9,26,3,18,두산,삼성,11:0,대구,대구,두산,23,0,3,65,1
2019,9,25,2,18,두산,롯데,7:0,사직,부산,두산,21,0,3,65,1
2019,9,21,5,17,KIA,두산,3:5,잠실,서울,두산,20,0,2,65,1
2019,9,20,4,18,KIA,두산,2:6,잠실,서울,두산,21,0,2,50,1
2019,9,19,3,18,두산,SK,7:3,문학,인천,두산,22,0,4,36,1
2019,9,19,3,15,두산,SK,6:4,문학,인천,두산,24,0,3,46,1
2019,9,13,4,14,KIA,두산,2:6,잠실,서울,두산,27,0,1,43,1
2019,9,12,3,17,KIA,두산,0:5,잠실,서울,두산,21,0,1,69,1
2019,9,1,6,14,삼성,두산,1:4,잠실,서울,두산,27,0,2,40,1
2018,9,30,6,14,LG,두산,1:7,잠실,서울,두산,21,0,4,32,1
2018,9,29,5,17,LG,두산,8:9,잠실,서울,두산,26,0,1,31,1
2018,9,26,2,14,키움,두산,8:9,잠실,서울,두산,24,0,1,33,1
2018,9,25,1,14,키움,두산,2:13,잠실,서울,두산,23,0,1,28,1
2018,9,22,5,17,두산,NC,13:10,마산,창원,두산,24,0,0,80,1
2018,9,21,4,18,두산,LG,10:3,잠실,서울,두산,20,0,0,77,1
2018,9,20,3,18,두산,LG,9:3,잠실,서울,두산,19,0,2,77,1
2018,9,16,6,14,NC,두산,1:5,잠실,서울,두산,23,0,2,72,1
2018,9,14,4,18,KT,두산,2:7,잠실,서울,두산,25,0,1,57,1
2018,9,13,3,18,KT,두산,3:10,잠실,서울,두산,26,0,1,56,1
2018,9,12,2,18,두산,롯데,13:9,사직,부산,두산,23,0,4,74,1
2018,9,11,1,18,두산,롯데,17:4,사직,부산,두산,21,0,3,64,1
2018,9,8,5,17,두산,SK,3:0,문학,인천,두산,25,0,3,50,1
2018,9,7,4,18,두산,삼성,7:2,대구,대구,두산,24,0,1,49,1
2018,9,6,3,18,두산,삼성,6:2,대구,대구,두산,24,0,1,53,1
2018,9,5,2,18,KIA,두산,1:14,잠실,서울,두산,27,0,2,45,1
2017,9,29,4,18,두산,LG,5:3,잠실,서울,두산,19,0,4,30,1
2017,9,24,6,14,KT,두산,4:6,잠실,서울,두산,27,0,3,56,1
2017,9,22,4,18,두산,KIA,6:0,광주,광주,두산,25,0,0,60,1
2017,9,20,2,18,두산,NC,3:2,마산,창원,두산,22,0,1,62,1
2017,9,19,1,18,두산,롯데,8:3,사직,부산,두산,24,0,5,72,1
2017,9,17,6,14,두산,삼성,21:8,대구,대구,두산,25,0,3,63,1
2017,9,16,5,17,두산,삼성,9:5,대구,대구,두산,22,0,3,68,1
2017,9,13,2,18,두산,NC,13:3,마산,창원,두산,24,0,2,54,1
2017,9,12,1,18,두산,NC,14:13,마산,창원,두산,26,0,1,75,1
2017,9,10,6,14,두산,LG,5:1,잠실,서울,두산,25,0,1,65,1
2017,9,8,4,18,KT,두산,2:3,잠실,서울,두산,27,0,3,49,1
2017,9,6,2,18,두산,한화,13:9,대전,대전,두산,21,0,0,90,1
2017,9,3,6,14,삼성,두산,1:7,잠실,서울,두산,27,0,1,47,1
2019,8,31,5,18,삼성,두산,3:5,잠실,서울,두산,27,0,2,50,1
2019,8,30,4,18,두산,KT,3:1,수원,수원,두산,24,0,4,66,1
2019,8,28,2,18,SK,두산,2:4,잠실,서울,두산,28,0,3,56,1
2019,8,27,1,18,SK,두산,2:4,잠실,서울,두산,28,0,1,52,1
2019,8,25,6,17,두산,한화,3:2,대전,대전,두산,29,0,0,54,1
2019,8,24,5,18,두산,한화,13:3,대전,대전,두산,26,0,1,68,1
2019,8,23,4,18,두산,삼성,8:4,대구,대구,두산,29,0,2,51,1
2019,8,22,3,18,두산,삼성,13:1,대구,대구,두산,29,0,2,70,1
2019,8,18,6,17,롯데,두산,3:11,잠실,서울,두산,29,0,2,49,1
2019,8,17,5,18,롯데,두산,2:9,잠실,서울,두산,28,0,2,48,1
2019,8,16,4,18,LG,두산,4:7,잠실,서울,두산,28,0,3,61,1
2019,8,13,1,18,두산,KIA,5:2,광주,광주,두산,31,0,3,70,1
2019,8,11,6,17,두산,키움,12:7,고척,서울,두산,34,0,2,39,1
2019,8,9,4,18,KT,두산,1:3,잠실,서울,두산,33,0,2,58,1
2019,8,8,3,18,KT,두산,2:7,잠실,서울,두산,30,0,2,65,1
2019,8,6,1,18,한화,두산,3:8,잠실,서울,두산,34,0,2,43,1
2019,8,1,3,18,두산,NC,3:2,창원,창원,두산,30,0,1,66,1
2018,8,16,3,18,키움,두산,2:8,잠실,서울,두산,32,0,2,40,1
2018,8,14,1,18,SK,두산,3:6,잠실,서울,두산,33,0,2,53,1
2018,8,11,5,18,롯데,두산,2:5,잠실,서울,두산,34,0,1,40,1
2018,8,9,3,18,두산,KT,4:2,수원,수원,두산,30,0,3,69,1
2018,8,7,1,18,한화,두산,4:6,잠실,서울,두산,34,0,3,50,1
2018,8,2,3,18,LG,두산,5:6,잠실,서울,두산,36,0,2,47,1
2018,8,1,2,18,LG,두산,8:14,잠실,서울,두산,37,0,3,47,1
2017,8,29,1,18,롯데,두산,5:7,잠실,서울,두산,22,0,4,34,1
2017,8,26,5,18,LG,두산,4:5,잠실,서울,두산,28,0,3,39,1
2017,8,25,4,18,키움,두산,3:4,잠실,서울,두산,28,0,4,35,1
2017,8,24,3,18,키움,두산,5:6,잠실,서울,두산,26,0,3,79,1
2017,8,23,2,18,두산,SK,4:1,문학,인천,두산,27,0,4,94,1
2017,8,22,1,18,두산,SK,10:6,문학,인천,두산,28,0,2,70,1
2017,8,19,5,18,두산,KT,10:4,수원,수원,두산,27,0,1,79,1
2017,8,18,4,18,KIA,두산,1:2,잠실,서울,두산,29,0,2,62,1
2017,8,17,3,18,KIA,두산,1:4,잠실,서울,두산,27,0,0,70,1
2017,8,13,6,18,NC,두산,1:2,잠실,서울,두산,28,0,3,54,1
2017,8,12,5,18,NC,두산,0:3,잠실,서울,두산,31,0,0,48,1
2017,8,10,3,18,두산,키움,7:4,고척,서울,두산,25,0,1,90,1
2017,8,8,1,18,한화,두산,1:8,잠실,서울,두산,30,0,2,45,1
2017,8,6,6,18,두산,LG,10:3,잠실,서울,두산,32,0,2,62,1
2017,8,5,5,18,두산,LG,2:1,잠실,서울,두산,34,0,2,57,1
2017,8,4,4,18,두산,LG,11:4,잠실,서울,두산,34,0,2,50,1
2017,8,3,3,18,두산,삼성,14:4,대구,대구,두산,29,0,5,66,1
2017,8,2,2,18,두산,삼성,5:2,대구,대구,두산,30,0,4,63,1
2017,8,1,1,18,두산,삼성,12:5,대구,대구,두산,31,0,2,63,1
2019,7,30,1,18,두산,NC,9:1,창원,창원,두산,28,0,1,76,1
2019,7,27,5,18,KIA,두산,1:12,잠실,서울,두산,30,0,1,69,1
2019,7,14,6,18,두산,롯데,8:2,사직,부산,두산,24,0,2,71,1
2019,7,13,5,18,두산,롯데,4:3,사직,부산,두산,23,0,2,72,1
2019,7,11,3,18,두산,LG,8:4,잠실,서울,두산,22,0,1,71,1
2019,7,9,1,18,두산,LG,11:4,잠실,서울,두산,28,0,2,38,1
2019,7,7,6,18,SK,두산,4:5,잠실,서울,두산,29,0,2,35,1
2019,7,4,3,18,두산,키움,4:1,고척,서울,두산,29,0,3,31,1
2019,7,3,2,18,두산,키움,3:1,고척,서울,두산,26,0,3,49,1
2018,7,31,1,18,LG,두산,2:6,잠실,서울,두산,36,0,2,45,1
2018,7,29,6,18,한화,두산,1:3,잠실,서울,두산,35,0,1,35,1
2018,7,28,5,18,한화,두산,6:13,잠실,서울,두산,29,0,0,81,1
2018,7,22,6,18,두산,LG,6:1,잠실,서울,두산,36,0,3,35,1
2018,7,21,5,18,두산,LG,17:10,잠실,서울,두산,35,0,2,42,1
2018,7,20,4,18,두산,LG,5:4,잠실,서울,두산,33,0,2,42,1
2018,7,19,3,18,롯데,두산,1:7,잠실,서울,두산,33,0,2,51,1
2018,7,18,2,18,롯데,두산,4:5,잠실,서울,두산,32,0,2,50,1
2018,7,11,2,18,두산,KT,6:0,수원,수원,두산,29,0,2,73,1
2018,7,7,5,18,삼성,두산,3:8,잠실,서울,두산,27,0,1,48,1
2018,7,6,4,18,삼성,두산,6:13,잠실,서울,두산,25,0,2,52,1
2018,7,5,3,18,두산,롯데,9:2,사직,부산,두산,23,0,2,89,1
2018,7,4,2,18,두산,롯데,7:4,사직,부산,두산,24,0,4,90,1
2017,7,30,6,18,KIA,두산,4:6,잠실,서울,두산,30,0,3,54,1
2017,7,27,3,18,두산,KT,5:3,수원,수원,두산,28,0,1,66,1
2017,7,26,2,18,두산,KT,7:3,수원,수원,두산,30,0,2,53,1
2017,7,25,1,18,두산,KT,6:5,수원,수원,두산,32,0,2,65,1
2017,7,23,6,18,한화,두산,7:8,잠실,서울,두산,28,0,2,82,1
2017,7,22,5,18,한화,두산,1:17,잠실,서울,두산,31,0,2,66,1
2017,7,21,4,18,한화,두산,6:9,잠실,서울,두산,31,0,1,69,1
2017,7,20,3,18,두산,SK,14:2,문학,인천,두산,29,0,3,74,1
2017,7,18,1,18,두산,SK,6:4,문학,인천,두산,28,0,3,78,1
2017,7,13,3,18,키움,두산,4:8,잠실,서울,두산,31,0,1,59,1
2017,7,12,2,18,키움,두산,3:4,잠실,서울,두산,29,0,3,62,1
2017,7,7,4,18,두산,NC,6:1,마산,창원,두산,27,0,2,94,1
2017,7,5,2,18,KT,두산,1:3,잠실,서울,두산,31,0,4,55,1
2017,7,4,1,18,KT,두산,1:8,잠실,서울,두산,29,0,3,64,1
2019,6,28,4,18,롯데,두산,2:3,잠실,서울,두산,26,0,2,62,1
2019,6,20,3,18,NC,두산,2:14,잠실,서울,두산,24,0,3,59,1
2019,6,19,2,18,NC,두산,0:1,잠실,서울,두산,23,0,2,74,1
2019,6,18,1,18,NC,두산,7:10,잠실,서울,두산,22,0,2,69,1
2019,6,16,6,17,LG,두산,3:5,잠실,서울,두산,26,0,2,42,1
2019,6,14,4,18,LG,두산,4:7,잠실,서울,두산,26,0,2,42,1
2019,6,13,3,18,두산,한화,7:2,대전,대전,두산,28,0,2,43,1
2019,6,12,2,18,두산,한화,9:6,대전,대전,두산,26,0,1,48,1
2019,6,7,4,18,키움,두산,1:7,잠실,서울,두산,24,0,1,52,1
2019,6,5,2,18,두산,KIA,5:4,광주,광주,두산,28,0,1,54,1
2019,6,4,1,18,두산,KIA,7:2,광주,광주,두산,27,0,1,48,1
2019,6,2,6,17,두산,KT,7:4,수원,수원,두산,26,0,2,25,1
2018,6,30,5,17,KIA,두산,2:12,잠실,서울,두산,27,0,2,75,1
2018,6,28,3,18,두산,NC,9:0,마산,창원,두산,21,0,0,98,1
2018,6,27,2,18,두산,NC,6:3,마산,창원,두산,24,0,1,95,1
2018,6,24,6,17,두산,삼성,12:7,대구,대구,두산,34,0,3,22,1
2018,6,23,5,17,두산,삼성,11:4,대구,대구,두산,31,0,2,30,1
2018,6,21,3,18,키움,두산,3:9,잠실,서울,두산,27,0,3,43,1
2018,6,16,5,17,두산,한화,8:3,대전,대전,두산,28,0,2,39,1
2018,6,15,4,18,두산,한화,13:4,대전,대전,두산,24,0,5,47,1
2018,6,14,3,18,KT,두산,8:9,잠실,서울,두산,24,0,1,61,1
2018,6,13,2,18,KT,두산,4:6,잠실,서울,두산,23,0,3,63,1
2018,6,12,1,18,KT,두산,2:3,잠실,서울,두산,24,0,3,53,1
2018,6,10,6,17,NC,두산,3:6,잠실,서울,두산,24,0,1,52,1
2018,6,9,5,17,NC,두산,0:3,잠실,서울,두산,28,0,2,39,1
2018,6,8,4,18,NC,두산,1:6,잠실,서울,두산,26,0,2,54,1
2018,6,7,3,18,두산,키움,3:0,고척,서울,두산,25,0,2,57,1
2018,6,6,2,14,두산,키움,7:3,고척,서울,두산,27,0,3,50,1
2018,6,2,5,17,두산,KIA,10:0,광주,광주,두산,31,0,1,26,1
2018,6,1,4,18,두산,KIA,5:3,광주,광주,두산,28,0,2,34,1
2017,6,29,3,18,SK,두산,3:6,잠실,서울,두산,29,0,4,49,1
2017,6,23,4,18,롯데,두산,1:9,잠실,서울,두산,29,0,5,44,1
2017,6,18,6,17,NC,두산,11:13,잠실,서울,두산,29,0,3,31,1
2017,6,17,5,17,NC,두산,4:14,잠실,서울,두산,27,0,4,41,1
2017,6,13,1,18,LG,두산,4:7,잠실,서울,두산,22,0,4,61,1
2017,6,8,3,18,삼성,두산,3:4,잠실,서울,두산,23,0,4,51,1
2017,6,7,2,18,삼성,두산,7:9,잠실,서울,두산,18,0,3,81,1
2017,6,4,6,17,두산,키움,6:1,고척,서울,두산,26,0,5,25,1
2017,6,2,4,18,두산,키움,15:4,고척,서울,두산,23,0,4,32,1
2017,6,1,3,18,두산,한화,8:6,대전,대전,두산,25,0,3,55,1
2019,5,29,2,18,삼성,두산,2:3,잠실,서울,두산,24,0,3,30,1
2019,5,28,1,18,삼성,두산,1:4,잠실,서울,두산,23,0,2,22,1
2019,5,26,6,14,한화,두산,1:2,잠실,서울,두산,30,0,3,24,1
2019,5,25,5,17,한화,두산,4:7,잠실,서울,두산,27,0,2,26,1
2019,5,18,5,17,두산,SK,10:5,문학,인천,두산,24,0,5,44,1
2019,5,17,4,18,두산,SK,3:1,문학,인천,두산,22,0,1,52,1
2019,5,16,3,18,삼성,두산,1:4,잠실,서울,두산,28,0,2,27,1
2019,5,15,2,18,삼성,두산,1:3,잠실,서울,두산,25,0,3,39,1
2019,5,12,6,14,두산,NC,3:2,창원,창원,두산,26,0,2,25,1
2019,5,11,5,17,두산,NC,12:0,창원,창원,두산,22,0,2,28,1
2019,5,8,2,18,KIA,두산,0:1,잠실,서울,두산,19,0,4,41,1
2019,5,7,1,18,KIA,두산,3:4,잠실,서울,두산,18,0,3,26,1
2019,5,5,6,14,LG,두산,2:11,잠실,서울,두산,26,0,4,19,1
2019,5,4,5,14,LG,두산,2:3,잠실,서울,두산,26,0,2,23,1
2019,5,3,4,18,LG,두산,2:7,잠실,서울,두산,23,0,2,25,1
2019,5,2,3,18,두산,한화,5:4,대전,대전,두산,21,0,1,43,1
2018,5,31,3,18,SK,두산,4:6,잠실,서울,두산,26,0,3,42,1
2018,5,30,2,18,SK,두산,3:11,잠실,서울,두산,23,0,2,42,1
2018,5,27,6,14,삼성,두산,2:8,잠실,서울,두산,24,0,4,36,1
2018,5,26,5,17,삼성,두산,1:6,잠실,서울,두산,27,0,3,34,1
2018,5,24,3,18,두산,한화,7:1,대전,대전,두산,23,0,2,36,1
2018,5,20,6,14,두산,롯데,7:6,사직,부산,두산,19,0,3,52,1
2018,5,18,4,18,두산,롯데,7:1,사직,부산,두산,13,0,1,90,1
2018,5,16,2,18,SK,두산,3:5,잠실,서울,두산,21,0,2,97,1
2018,5,15,1,18,SK,두산,4:6,잠실,서울,두산,27,0,2,47,1
2018,5,9,2,18,두산,KIA,13:7,광주,광주,두산,19,0,3,67,1
2018,5,6,6,14,두산,LG,13:5,잠실,서울,두산,17,0,1,85,1
2018,5,5,5,14,두산,LG,3:0,잠실,서울,두산,23,0,3,34,1
2018,5,4,4,18,두산,LG,11:8,잠실,서울,두산,17,0,3,35,1
2018,5,1,1,18,KT,두산,2:4,잠실,서울,두산,21,0,2,67,1
2017,5,28,6,14,KT,두산,5:9,잠실,서울,두산,26,0,5,34,1
2017,5,27,5,17,KT,두산,4:10,잠실,서울,두산,24,0,4,29,1
2017,5,25,3,18,두산,LG,9:7,잠실,서울,두산,22,0,4,29,1
2017,5,24,2,18,두산,LG,2:1,잠실,서울,두산,27,0,3,39,1
2017,5,21,6,14,두산,KIA,7:3,광주,광주,두산,25,0,1,37,1
2017,5,20,5,17,두산,KIA,6:0,광주,광주,두산,26,0,1,32,1
2017,5,19,4,18,두산,KIA,7:6,광주,광주,두산,26,0,2,32,1
2017,5,18,3,18,NC,두산,4:7,잠실,서울,두산,24,0,2,32,1
2017,5,14,6,14,두산,롯데,15:1,사직,부산,두산,23,0,6,39,1
2017,5,13,5,17,두산,롯데,9:4,사직,부산,두산,20,0,8,62,1
2017,5,11,3,18,SK,두산,0:7,잠실,서울,두산,24,0,1,49,1
2017,5,10,2,18,SK,두산,0:6,잠실,서울,두산,18,0,2,59,1
2017,5,4,3,18,두산,삼성,17:2,대구,대구,두산,25,0,2,43,1
2017,5,3,2,14,두산,삼성,10:4,대구,대구,두산,27,0,2,15,1
2019,4,28,6,14,롯데,두산,2:9,잠실,서울,두산,15,0,2,39,1
2019,4,27,5,17,롯데,두산,0:7,잠실,서울,두산,16,0,1,33,1
2019,4,26,4,18,롯데,두산,8:11,잠실,서울,두산,9,0,1,81,1
2019,4,23,1,18,두산,키움,9:3,고척,서울,두산,23,0,2,50,1
2019,4,21,6,14,두산,KIA,9:2,광주,광주,두산,21,0,1,51,1
2019,4,20,5,17,두산,KIA,10:1,광주,광주,두산,23,0,2,47,1
2019,4,19,4,18,두산,KIA,8:6,광주,광주,두산,17,0,2,67,1
2019,4,17,2,18,SK,두산,3:12,잠실,서울,두산,18,0,4,43,1
2019,4,16,1,18,SK,두산,3:8,잠실,서울,두산,20,0,3,12,1
2019,4,14,6,14,두산,LG,8:0,잠실,서울,두산,11,0,2,69,1
2019,4,11,3,18,두산,롯데,5:1,사직,부산,두산,10,0,1,60,1
2019,4,10,2,18,두산,롯데,3:1,사직,부산,두산,10,0,3,65,1
2019,4,4,3,18,KT,두산,4:5,잠실,서울,두산,12,0,4,26,1
2019,4,3,2,18,KT,두산,1:5,잠실,서울,두산,10,0,3,25,1
2019,4,2,1,18,KT,두산,0:9,잠실,서울,두산,9,0,3,22,1
2018,4,29,6,14,두산,NC,7:1,마산,창원,두산,22,0,3,49,1
2018,4,27,4,18,두산,NC,6:2,마산,창원,두산,16,0,2,63,1
2018,4,24,1,18,두산,SK,10:9,문학,인천,두산,14,0,5,53,1
2018,4,21,5,17,KIA,두산,5:10,잠실,서울,두산,23,0,3,12,1
2018,4,20,4,18,KIA,두산,4:6,잠실,서울,두산,24,0,2,33,1
2018,4,19,3,18,한화,두산,2:5,잠실,서울,두산,19,0,3,31,1
2018,4,18,2,18,한화,두산,4:5,잠실,서울,두산,16,0,3,33,1
2018,4,15,6,14,두산,키움,3:2,고척,서울,두산,13,0,3,50,1
2018,4,13,4,18,두산,키움,12:0,고척,서울,두산,17,0,1,18,1
2018,4,12,3,18,두산,삼성,9:3,대구,대구,두산,21,0,4,16,1
2018,4,11,2,18,두산,삼성,7:6,대구,대구,두산,21,0,4,21,1
2018,4,10,1,18,두산,삼성,8:1,대구,대구,두산,19,0,3,42,1
2018,4,8,6,14,NC,두산,10:11,잠실,서울,두산,7,0,1,27,1
2018,4,7,5,17,NC,두산,3:6,잠실,서울,두산,7,0,5,36,1
2018,4,4,2,18,LG,두산,3:6,잠실,서울,두산,16,0,2,47,1
2018,4,3,1,18,LG,두산,4:5,잠실,서울,두산,18,0,3,68,1
2017,4,29,5,17,롯데,두산,3:5,잠실,서울,두산,22,0,5,18,1
2017,4,28,4,18,롯데,두산,0:2,잠실,서울,두산,16,0,4,49,1
2017,4,26,2,18,두산,키움,4:3,고척,서울,두산,17,0,4,25,1
2017,4,23,6,14,두산,SK,8:4,문학,인천,두산,18,0,2,30,1
2017,4,20,3,18,삼성,두산,2:4,잠실,서울,두산,15,0,3,40,1
2017,4,19,2,18,삼성,두산,1:2,잠실,서울,두산,16,0,3,28,1
2017,4,15,5,17,두산,NC,11:2,마산,창원,두산,21,0,5,61,1
2017,4,14,4,18,두산,NC,10:6,마산,창원,두산,17,0,5,68,1
2017,4,11,1,18,KIA,두산,4:16,잠실,서울,두산,18,0,4,37,1
2017,4,4,1,19,두산,KT,2:0,수원,수원,두산,15,0,2,36,1
2017,4,2,6,14,한화,두산,4:5,잠실,서울,두산,15,0,5,29,1
