YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,STADIUM,LOCATION,WINNER
2019,08,10,5,18,롯데,NC,창원,창원,NC
2019,08,10,5,18,KIA,삼성,대구,대구,KIA
2019,08,10,5,18,한화,KT,수원,수원,KT
2019,08,9,4,19,LG,NC,창원,창원,LG
2019,08,9,4,18,SK,키움,고척,서울,키움
2019,08,9,4,18,롯데,삼성,대구,대구,롯데
2019,08,9,4,18,KT,두산,잠실,서울,두산
2019,08,9,4,18,한화,KIA,광주,광주,KIA
2019,08,8,3,18,SK,키움,고척,서울,SK
2019,08,8,3,18,롯데,삼성,대구,대구,롯데
2019,08,8,3,18,LG,NC,창원,창원,NC
2019,08,8,3,18,KT,두산,잠실,서울,두산
2019,08,8,3,18,한화,KIA,광주,광주,KIA
2019,08,7,2,18,키움,롯데,울산,울산,키움
2019,08,7,2,18,삼성,NC,창원,창원,NC
2019,08,7,2,18,LG,KIA,광주,광주,KIA
2019,08,7,2,18,KT,SK,문학,인천,SK
2019,08,7,2,18,한화,두산,잠실,서울,한화
2019,08,6,1,18,LG,KIA,광주,광주,LG
2019,08,6,1,18,KT,SK,문학,인천,KT
2019,08,6,1,18,한화,두산,잠실,서울,두산
2019,08,4,6,18,두산,롯데,사직,부산,롯데
2019,08,4,6,17,삼성,LG,잠실,서울,삼성
2019,08,4,6,17,SK,한화,대전,대전,한화
2019,08,4,6,17,NC,KIA,광주,광주,KIA
2019,08,4,6,17,KT,키움,고척,서울,KT
2019,08,3,5,18,삼성,LG,잠실,서울,LG
2019,08,3,5,18,SK,한화,대전,대전,SK
2019,08,3,5,18,두산,롯데,사직,부산,롯데
2019,08,3,5,18,NC,KIA,광주,광주,KIA
2019,08,3,5,18,KT,키움,고척,서울,KT
2019,08,1,3,18,키움,LG,잠실,서울,LG
2019,08,1,3,18,두산,NC,창원,창원,두산
2019,08,1,3,18,롯데,삼성,대구,대구,롯데
2019,08,1,3,18,KIA,SK,문학,인천,SK
2019,08,1,3,18,한화,KT,수원,수원,한화
2018,08,16,3,18,키움,두산,잠실,서울,두산
2018,08,16,3,18,NC,KT,수원,수원,KT
2018,08,16,3,18,LG,SK,문학,인천,LG
2018,08,16,3,18,KIA,롯데,사직,부산,롯데
2018,08,16,3,18,한화,삼성,대구,대구,삼성
2018,08,15,2,18,키움,삼성,대구,대구,키움
2018,08,15,2,18,SK,두산,잠실,서울,SK
2018,08,15,2,18,NC,KT,수원,수원,NC
2018,08,15,2,18,LG,KIA,광주,광주,LG
2018,08,14,1,18,키움,삼성,대구,대구,키움
2018,08,14,1,18,SK,두산,잠실,서울,두산
2018,08,14,1,18,NC,KT,수원,수원,KT
2018,08,14,1,18,LG,KIA,광주,광주,KIA
2018,08,14,1,18,한화,롯데,사직,부산,롯데
2018,08,12,6,18,NC,삼성,대구,대구,삼성
2018,08,12,6,18,롯데,두산,잠실,서울,롯데
2018,08,12,6,18,LG,키움,고척,서울,키움
2018,08,12,6,18,KT,한화,대전,대전,한화
2018,08,12,6,18,KIA,SK,문학,인천,KIA
2018,08,11,5,18,NC,삼성,대구,대구,NC
2018,08,11,5,18,롯데,두산,잠실,서울,두산
2018,08,11,5,18,LG,키움,고척,서울,키움
2018,08,11,5,18,KT,한화,대전,대전,한화
2018,08,11,5,18,KIA,SK,문학,인천,KIA
2018,08,10,4,18,키움,한화,청주,청주,키움
2018,08,10,4,18,삼성,LG,잠실,서울,LG
2018,08,10,4,18,SK,NC,마산,창원,SK
2018,08,10,4,18,두산,KT,수원,수원,KT
2018,08,9,3,18,키움,한화,청주,청주,키움
2018,08,9,3,18,삼성,LG,잠실,서울,삼성
2018,08,9,3,18,SK,NC,마산,창원,NC
2018,08,9,3,18,두산,KT,수원,수원,두산
2018,08,9,3,18,롯데,KIA,광주,광주,롯데
2018,08,8,2,18,삼성,SK,문학,인천,SK
2018,08,8,2,18,LG,롯데,울산,울산,롯데
2018,08,8,2,18,KT,NC,마산,창원,NC
2018,08,8,2,18,KIA,키움,고척,서울,키움
2018,08,8,2,18,한화,두산,잠실,서울,한화
2018,08,7,1,18,삼성,SK,문학,인천,삼성
2018,08,7,1,18,LG,롯데,울산,울산,롯데
2018,08,7,1,18,KT,NC,마산,창원,KT
2018,08,7,1,18,KIA,키움,고척,서울,키움
2018,08,7,1,18,한화,두산,잠실,서울,두산
2018,08,5,6,18,키움,KT,수원,수원,키움
2018,08,5,6,18,삼성,롯데,사직,부산,삼성
2018,08,5,6,18,SK,LG,잠실,서울,SK
2018,08,5,6,18,두산,KIA,광주,광주,KIA
2018,08,5,6,18,NC,한화,대전,대전,NC
2018,08,4,5,18,키움,KT,수원,수원,키움
2018,08,4,5,18,삼성,롯데,사직,부산,롯데
2018,08,4,5,18,SK,LG,잠실,서울,SK
2018,08,4,5,18,두산,KIA,광주,광주,KIA
2018,08,4,5,18,NC,한화,대전,대전,NC
2018,08,2,3,18,키움,SK,문학,인천,키움
2018,08,2,3,18,NC,삼성,대구,대구,삼성
2018,08,2,3,18,롯데,KIA,광주,광주,롯데
2018,08,2,3,18,LG,두산,잠실,서울,두산
2018,08,2,3,18,KT,한화,대전,대전,한화
2018,08,1,2,18,키움,SK,문학,인천,SK
2018,08,1,2,18,NC,삼성,대구,대구,NC
2018,08,1,2,18,롯데,KIA,광주,광주,KIA
2018,08,1,2,18,LG,두산,잠실,서울,두산
2018,08,1,2,18,KT,한화,대전,대전,한화
2017,08,31,3,18,키움,LG,잠실,서울,키움
2017,08,31,3,18,삼성,SK,문학,인천,SK
2017,08,31,3,18,두산,KIA,광주,광주,KIA
2017,08,31,3,18,NC,롯데,사직,부산,롯데
2017,08,31,3,18,KT,한화,대전,대전,한화
2017,08,30,2,18,SK,키움,고척,서울,키움
2017,08,30,2,18,NC,KT,수원,수원,KT
2017,08,30,2,18,롯데,두산,잠실,서울,롯데
2017,08,30,2,18,LG,한화,대전,대전,LG
2017,08,30,2,18,KIA,삼성,대구,대구,KIA
2017,08,29,1,18,SK,키움,고척,서울,키움
2017,08,29,1,18,NC,KT,수원,수원,NC
2017,08,29,1,18,롯데,두산,잠실,서울,두산
2017,08,29,1,18,LG,한화,대전,대전,한화
2017,08,29,1,18,KIA,삼성,대구,대구,KIA
2017,08,27,6,18,키움,롯데,사직,부산,키움
2017,08,27,6,18,LG,두산,잠실,서울,0
2017,08,27,6,18,KT,삼성,대구,대구,KT
2017,08,27,6,18,KIA,NC,마산,창원,NC
2017,08,27,6,18,한화,SK,문학,인천,SK
2017,08,26,5,18,키움,롯데,사직,부산,롯데
2017,08,26,5,18,LG,두산,잠실,서울,두산
2017,08,26,5,18,KT,삼성,대구,대구,삼성
2017,08,26,5,18,KIA,NC,마산,창원,KIA
2017,08,26,5,18,한화,SK,문학,인천,SK
2017,08,25,4,18,키움,두산,잠실,서울,두산
2017,08,25,4,18,SK,삼성,대구,대구,SK
2017,08,25,4,18,LG,롯데,사직,부산,롯데
2017,08,25,4,18,KT,NC,마산,창원,NC
2017,08,25,4,18,KIA,한화,대전,대전,한화
2017,08,24,3,18,키움,두산,잠실,서울,두산
2017,08,24,3,18,SK,삼성,대구,대구,SK
2017,08,24,3,18,LG,롯데,사직,부산,롯데
2017,08,24,3,18,KT,NC,마산,창원,NC
2017,08,23,2,18,삼성,키움,고척,서울,키움
2017,08,23,2,18,두산,SK,문학,인천,두산
2017,08,23,2,18,NC,LG,잠실,서울,LG
2017,08,23,2,18,롯데,KIA,광주,광주,롯데
2017,08,23,2,18,한화,KT,수원,수원,한화
2017,08,22,1,18,삼성,키움,고척,서울,키움
2017,08,22,1,18,두산,SK,문학,인천,두산
2017,08,22,1,18,NC,LG,잠실,서울,NC
2017,08,22,1,18,롯데,KIA,광주,광주,롯데
2017,08,22,1,18,한화,KT,수원,수원,한화
2017,08,20,6,18,두산,KT,수원,수원,KT
2017,08,20,6,18,NC,키움,고척,서울,NC
2017,08,20,6,18,롯데,한화,대전,대전,롯데
2017,08,19,5,18,삼성,LG,잠실,서울,LG
2017,08,19,5,18,SK,KIA,광주,광주,SK
2017,08,19,5,18,두산,KT,수원,수원,두산
2017,08,19,5,18,NC,키움,고척,서울,키움
2017,08,19,5,18,롯데,한화,대전,대전,한화
2017,08,18,4,18,삼성,KT,수원,수원,삼성
2017,08,18,4,18,롯데,키움,고척,서울,롯데
2017,08,18,4,18,LG,SK,문학,인천,SK
2017,08,18,4,18,KIA,두산,잠실,서울,두산
2017,08,18,4,18,한화,NC,마산,창원,한화
2017,08,17,3,18,삼성,KT,수원,수원,삼성
2017,08,17,3,18,롯데,키움,고척,서울,롯데
2017,08,17,3,18,LG,SK,문학,인천,SK
2017,08,17,3,18,KIA,두산,잠실,서울,두산
2017,08,17,3,18,한화,NC,마산,창원,NC
2017,08,16,2,18,키움,삼성,대구,대구,키움
2017,08,16,2,18,SK,한화,대전,대전,한화
2017,08,16,2,18,두산,롯데,사직,부산,롯데
2017,08,16,2,18,NC,KIA,광주,광주,KIA
2017,08,16,2,18,KT,LG,잠실,서울,LG
2017,08,15,1,18,두산,롯데,사직,부산,롯데
2017,08,15,1,18,NC,KIA,광주,광주,KIA
2017,08,13,6,18,NC,두산,잠실,서울,두산
2017,08,13,6,18,롯데,삼성,대구,대구,롯데
2017,08,13,6,18,KT,SK,문학,인천,KT
2017,08,13,6,18,한화,키움,고척,서울,키움
2017,08,12,5,18,NC,두산,잠실,서울,두산
2017,08,12,5,18,롯데,삼성,대구,대구,삼성
2017,08,12,5,18,LG,KIA,광주,광주,KIA
2017,08,12,5,18,KT,SK,문학,인천,SK
2017,08,12,5,18,한화,키움,고척,서울,한화
2017,08,11,4,18,삼성,한화,대전,대전,한화
2017,08,11,4,18,SK,LG,잠실,서울,LG
2017,08,11,4,18,두산,키움,고척,서울,키움
2017,08,11,4,18,롯데,NC,마산,창원,롯데
2017,08,11,4,18,KIA,KT,수원,수원,KT
2017,08,10,3,18,SK,LG,잠실,서울,SK
2017,08,10,3,18,두산,키움,고척,서울,두산
2017,08,10,3,18,롯데,NC,마산,창원,NC
2017,08,9,2,18,키움,KIA,광주,광주,KIA
2017,08,9,2,18,NC,SK,문학,인천,NC
2017,08,9,2,18,LG,삼성,대구,대구,삼성
2017,08,9,2,18,KT,롯데,사직,부산,롯데
2017,08,9,2,18,한화,두산,잠실,서울,한화
2017,08,8,1,18,키움,KIA,광주,광주,키움
2017,08,8,1,18,NC,SK,문학,인천,SK
2017,08,8,1,18,LG,삼성,대구,대구,LG
2017,08,8,1,18,KT,롯데,사직,부산,롯데
2017,08,8,1,18,한화,두산,잠실,서울,두산
2017,08,6,6,18,키움,롯데,사직,부산,롯데
2017,08,6,6,18,삼성,NC,마산,창원,NC
2017,08,6,6,18,SK,KT,수원,수원,KT
2017,08,6,6,18,두산,LG,잠실,서울,두산
2017,08,5,5,18,키움,롯데,사직,부산,롯데
2017,08,5,5,18,삼성,NC,마산,창원,삼성
2017,08,5,5,18,SK,KT,수원,수원,KT
2017,08,5,5,18,두산,LG,잠실,서울,두산
2017,08,5,5,18,KIA,한화,대전,대전,KIA
2017,08,4,4,18,키움,롯데,사직,부산,롯데
2017,08,4,4,18,삼성,NC,마산,창원,삼성
2017,08,4,4,18,SK,KT,수원,수원,SK
2017,08,4,4,18,두산,LG,잠실,서울,두산
2017,08,4,4,18,KIA,한화,대전,대전,한화
2017,08,3,3,18,SK,키움,고척,서울,키움
2017,08,3,3,18,두산,삼성,대구,대구,두산
2017,08,3,3,18,롯데,LG,잠실,서울,LG
2017,08,3,3,18,KT,KIA,광주,광주,KIA
2017,08,3,3,18,한화,NC,마산,창원,NC
2017,08,2,2,18,SK,키움,고척,서울,키움
2017,08,2,2,18,두산,삼성,대구,대구,두산
2017,08,2,2,18,롯데,LG,잠실,서울,LG
2017,08,2,2,18,한화,NC,마산,창원,한화
2017,08,1,1,18,SK,키움,고척,서울,키움
2017,08,1,1,18,두산,삼성,대구,대구,두산
2017,08,1,1,18,롯데,LG,잠실,서울,LG
2017,08,1,1,18,KT,KIA,광주,광주,KT
2017,08,1,1,18,한화,NC,마산,창원,NC
2019,07,31,2,18,키움,LG,잠실,서울,키움
2019,07,31,2,18,두산,NC,창원,창원,NC
2019,07,31,2,18,롯데,삼성,대구,대구,롯데
2019,07,31,2,18,KIA,SK,문학,인천,KIA
2019,07,31,2,18,한화,KT,수원,수원,한화
2019,07,30,1,18,키움,LG,잠실,서울,키움
2019,07,30,1,18,두산,NC,창원,창원,두산
2019,07,30,1,18,롯데,삼성,대구,대구,삼성
2019,07,30,1,18,KIA,SK,문학,인천,KIA
2019,07,30,1,18,한화,KT,수원,수원,KT
2019,07,28,6,18,SK,롯데,사직,부산,SK
2019,07,28,6,18,NC,키움,고척,서울,NC
2019,07,28,6,18,LG,KT,수원,수원,LG
2019,07,28,6,18,한화,삼성,대구,대구,삼성
2019,07,27,5,18,SK,롯데,사직,부산,SK
2019,07,27,5,18,NC,키움,고척,서울,키움
2019,07,27,5,18,LG,KT,수원,수원,LG
2019,07,27,5,18,KIA,두산,잠실,서울,두산
2019,07,27,5,18,한화,삼성,대구,대구,삼성
2019,07,26,4,19,SK,롯데,사직,부산,SK
2019,07,26,4,18,NC,키움,고척,서울,키움
2019,07,26,4,18,한화,삼성,대구,대구,삼성
2019,07,18,3,18,삼성,키움,고척,서울,키움
2019,07,18,3,18,NC,한화,청주,청주,NC
2019,07,18,3,18,롯데,KIA,광주,광주,롯데
2019,07,18,3,18,LG,SK,문학,인천,LG
2019,07,18,3,18,KT,두산,잠실,서울,KT
2019,07,17,2,18,삼성,키움,고척,서울,키움
2019,07,17,2,18,NC,한화,청주,청주,NC
2019,07,17,2,18,롯데,KIA,광주,광주,KIA
2019,07,17,2,18,LG,SK,문학,인천,SK
2019,07,17,2,18,KT,두산,잠실,서울,KT
2019,07,16,1,18,삼성,키움,고척,서울,키움
2019,07,16,1,18,NC,한화,청주,청주,NC
2019,07,16,1,18,LG,SK,문학,인천,SK
2019,07,16,1,18,KT,두산,잠실,서울,KT
2019,07,14,6,18,키움,SK,문학,인천,SK
2019,07,14,6,18,삼성,LG,잠실,서울,LG
2019,07,14,6,18,두산,롯데,사직,부산,두산
2019,07,14,6,18,KT,NC,창원,창원,KT
2019,07,14,6,18,한화,KIA,광주,광주,KIA
2019,07,13,5,18,키움,SK,문학,인천,SK
2019,07,13,5,18,삼성,LG,잠실,서울,LG
2019,07,13,5,18,두산,롯데,사직,부산,두산
2019,07,13,5,18,KT,NC,창원,창원,KT
2019,07,13,5,18,한화,KIA,광주,광주,한화
2019,07,12,4,19,두산,롯데,사직,부산,롯데
2019,07,12,4,19,KT,NC,창원,창원,NC
2019,07,12,4,18,키움,SK,문학,인천,키움
2019,07,12,4,18,삼성,LG,잠실,서울,삼성
2019,07,12,4,18,한화,KIA,광주,광주,KIA
2019,07,11,3,18,키움,KT,수원,수원,키움
2019,07,11,3,18,SK,한화,대전,대전,SK
2019,07,11,3,18,두산,LG,잠실,서울,두산
2019,07,11,3,18,NC,롯데,사직,부산,NC
2019,07,11,3,18,KIA,삼성,대구,대구,삼성
2019,07,9,1,18,키움,KT,수원,수원,키움
2019,07,9,1,18,SK,한화,대전,대전,한화
2019,07,9,1,18,두산,LG,잠실,서울,두산
2019,07,9,1,18,NC,롯데,사직,부산,롯데
2019,07,9,1,18,KIA,삼성,대구,대구,삼성
2019,07,7,6,18,삼성,NC,창원,창원,삼성
2019,07,7,6,18,SK,두산,잠실,서울,두산
2019,07,7,6,18,롯데,키움,고척,서울,키움
2019,07,7,6,18,LG,KIA,광주,광주,LG
2019,07,7,6,18,KT,한화,대전,대전,KT
2019,07,6,5,18,삼성,NC,창원,창원,0
2019,07,6,5,18,SK,두산,잠실,서울,SK
2019,07,6,5,18,롯데,키움,고척,서울,키움
2019,07,6,5,18,LG,KIA,광주,광주,KIA
2019,07,6,5,18,KT,한화,대전,대전,한화
2019,07,5,4,19,삼성,NC,창원,창원,NC
2019,07,5,4,18,SK,두산,잠실,서울,SK
2019,07,5,4,18,롯데,키움,고척,서울,키움
2019,07,5,4,18,LG,KIA,광주,광주,KIA
2019,07,5,4,18,KT,한화,대전,대전,KT
2019,07,4,3,18,삼성,KT,수원,수원,KT
2019,07,4,3,18,두산,키움,고척,서울,두산
2019,07,4,3,18,NC,KIA,광주,광주,NC
2019,07,4,3,18,롯데,SK,문학,인천,SK
2019,07,4,3,18,한화,LG,잠실,서울,LG
2019,07,3,2,18,삼성,KT,수원,수원,KT
2019,07,3,2,18,두산,키움,고척,서울,두산
2019,07,3,2,18,NC,KIA,광주,광주,NC
2019,07,3,2,18,롯데,SK,문학,인천,SK
2019,07,3,2,18,한화,LG,잠실,서울,LG
2019,07,2,1,18,삼성,KT,수원,수원,KT
2019,07,2,1,18,두산,키움,고척,서울,키움
2019,07,2,1,18,NC,KIA,광주,광주,KIA
2019,07,2,1,18,롯데,SK,문학,인천,SK
2019,07,2,1,18,한화,LG,잠실,서울,LG
2018,07,31,1,18,키움,SK,문학,인천,키움
2018,07,31,1,18,NC,삼성,대구,대구,0
2018,07,31,1,18,롯데,KIA,광주,광주,KIA
2018,07,31,1,18,LG,두산,잠실,서울,두산
2018,07,31,1,18,KT,한화,대전,대전,KT
2018,07,29,6,18,SK,NC,마산,창원,NC
2018,07,29,6,18,롯데,키움,고척,서울,롯데
2018,07,29,6,18,LG,KT,수원,수원,LG
2018,07,29,6,18,KIA,삼성,대구,대구,삼성
2018,07,29,6,18,한화,두산,잠실,서울,두산
2018,07,28,5,18,SK,NC,마산,창원,SK
2018,07,28,5,18,롯데,키움,고척,서울,롯데
2018,07,28,5,18,LG,KT,수원,수원,KT
2018,07,28,5,18,KIA,삼성,대구,대구,삼성
2018,07,28,5,18,한화,두산,잠실,서울,두산
2018,07,27,4,18,SK,NC,마산,창원,NC
2018,07,27,4,18,롯데,키움,고척,서울,롯데
2018,07,27,4,18,LG,KT,수원,수원,KT
2018,07,27,4,18,KIA,삼성,대구,대구,삼성
2018,07,27,4,18,한화,두산,잠실,서울,한화
2018,07,26,3,18,삼성,LG,잠실,서울,LG
2018,07,26,3,18,두산,SK,문학,인천,SK
2018,07,26,3,18,NC,롯데,사직,부산,롯데
2018,07,26,3,18,KT,키움,고척,서울,KT
2018,07,26,3,18,KIA,한화,대전,대전,한화
2018,07,25,2,18,삼성,LG,잠실,서울,삼성
2018,07,25,2,18,두산,SK,문학,인천,SK
2018,07,25,2,18,NC,롯데,사직,부산,NC
2018,07,25,2,18,KT,키움,고척,서울,키움
2018,07,25,2,18,KIA,한화,대전,대전,KIA
2018,07,24,1,18,삼성,LG,잠실,서울,삼성
2018,07,24,1,18,두산,SK,문학,인천,SK
2018,07,24,1,18,NC,롯데,사직,부산,NC
2018,07,24,1,18,KT,키움,고척,서울,KT
2018,07,24,1,18,KIA,한화,대전,대전,한화
2018,07,22,6,18,키움,NC,마산,창원,키움
2018,07,22,6,18,SK,롯데,사직,부산,롯데
2018,07,22,6,18,두산,LG,잠실,서울,두산
2018,07,22,6,18,KT,KIA,광주,광주,KT
2018,07,22,6,18,한화,삼성,대구,대구,삼성
2018,07,21,5,18,키움,NC,마산,창원,키움
2018,07,21,5,18,SK,롯데,사직,부산,SK
2018,07,21,5,18,두산,LG,잠실,서울,두산
2018,07,21,5,18,KT,KIA,광주,광주,KIA
2018,07,21,5,18,한화,삼성,대구,대구,삼성
2018,07,20,4,18,키움,NC,마산,창원,NC
2018,07,20,4,18,SK,롯데,사직,부산,SK
2018,07,20,4,18,두산,LG,잠실,서울,두산
2018,07,20,4,18,KT,KIA,광주,광주,KIA
2018,07,20,4,18,한화,삼성,대구,대구,한화
2018,07,19,3,18,삼성,KIA,광주,광주,삼성
2018,07,19,3,18,NC,SK,문학,인천,SK
2018,07,19,3,18,롯데,두산,잠실,서울,두산
2018,07,19,3,18,LG,키움,고척,서울,LG
2018,07,19,3,18,한화,KT,수원,수원,KT
2018,07,18,2,18,삼성,KIA,광주,광주,삼성
2018,07,18,2,18,NC,SK,문학,인천,NC
2018,07,18,2,18,롯데,두산,잠실,서울,두산
2018,07,18,2,18,LG,키움,고척,서울,LG
2018,07,18,2,18,한화,KT,수원,수원,KT
2018,07,17,1,18,삼성,KIA,광주,광주,KIA
2018,07,17,1,18,NC,SK,문학,인천,SK
2018,07,17,1,18,롯데,두산,잠실,서울,롯데
2018,07,17,1,18,LG,키움,고척,서울,LG
2018,07,17,1,18,한화,KT,수원,수원,한화
2018,07,14,5,18,나눔,드림,울산,울산,나눔
2018,07,12,3,18,키움,한화,대전,대전,한화
2018,07,12,3,18,SK,LG,잠실,서울,SK
2018,07,12,3,18,두산,KT,수원,수원,KT
2018,07,12,3,18,롯데,삼성,포항,포항,삼성
2018,07,12,3,18,KIA,NC,마산,창원,NC
2018,07,11,2,18,키움,한화,대전,대전,키움
2018,07,11,2,18,SK,LG,잠실,서울,LG
2018,07,11,2,18,두산,KT,수원,수원,두산
2018,07,11,2,18,롯데,삼성,포항,포항,삼성
2018,07,11,2,18,KIA,NC,마산,창원,NC
2018,07,10,1,18,키움,한화,대전,대전,한화
2018,07,10,1,18,SK,LG,잠실,서울,SK
2018,07,10,1,18,두산,KT,수원,수원,KT
2018,07,10,1,18,롯데,삼성,포항,포항,삼성
2018,07,10,1,18,KIA,NC,마산,창원,NC
2018,07,8,6,18,삼성,두산,잠실,서울,삼성
2018,07,8,6,18,NC,키움,고척,서울,NC
2018,07,8,6,18,LG,KIA,광주,광주,LG
2018,07,8,6,18,KT,롯데,사직,부산,롯데
2018,07,8,6,18,한화,SK,문학,인천,한화
2018,07,7,5,18,삼성,두산,잠실,서울,두산
2018,07,7,5,18,NC,키움,고척,서울,키움
2018,07,7,5,18,LG,KIA,광주,광주,LG
2018,07,7,5,18,KT,롯데,사직,부산,KT
2018,07,7,5,18,한화,SK,문학,인천,SK
2018,07,6,4,18,삼성,두산,잠실,서울,두산
2018,07,6,4,18,NC,키움,고척,서울,키움
2018,07,6,4,18,LG,KIA,광주,광주,KIA
2018,07,6,4,18,KT,롯데,사직,부산,롯데
